1 : 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2 : 2, 4, 6, 8, 10, 12, 14, 16, 18, 20
3 : 3, 6, 9, 12, 15, 18, 21, 24, 27, 30
4 : 4, 8, 12, 16, 20, 24, 28, 32, 36, 40
5 : 5, 10, 15, 20, 25, 30, 35, 40, 45, 50
6 : 6, 12, 18, 24, 30, 36, 42, 48, 54, 60
7 : 7, 14, 21, 28, 35, 42, 49, 56, 63, 70
8 : 8, 16, 24, 32, 40, 48, 56, 64, 72, 80
9 : 9, 18, 27, 36, 45, 54, 63, 72, 81, 90
10 : 10, 20, 30, 40, 50, 60, 70, 80, 90, 100
11 : 11, 22, 33, 44, 55, 66, 77, 88, 99, 110
12 : 12, 24, 36, 48, 60, 72, 84, 96, 108, 120
13 : 13, 26, 39, 52, 65, 78, 91, 104, 117, 130
14 : 14, 28, 42, 56, 70, 84, 98, 112, 126, 140
15 : 15, 30, 45, 60, 75, 90, 105, 120, 135, 150
16 : 16, 32, 48, 64, 80, 96, 112, 128, 144, 160
17 : 17, 34, 51, 68, 85, 102, 119, 136, 153, 170
18 : 18, 36, 54, 72, 90, 108, 126, 144, 162, 180
19 : 19, 38, 57, 76, 95, 114, 133, 152, 171, 190
20 : 20, 40, 60, 80, 100, 120, 140, 160, 180, 200
21 : 21, 42, 63, 84, 105, 126, 147, 168, 189, 210
22 : 22, 44, 66, 88, 110, 132, 154, 176, 198, 220
23 : 23, 46, 69, 92, 115, 138, 161, 184, 207, 230
24 : 24, 48, 72, 96, 120, 144, 168, 192, 216, 240
25 : 25, 50, 75, 100, 125, 150, 175, 200, 225, 250
26 : 26, 52, 78, 104, 130, 156, 182, 208, 234, 260
27 : 27, 54, 81, 108, 135, 162, 189, 216, 243, 270
28 : 28, 56, 84, 112, 140, 168, 196, 224, 252, 280
29 : 29, 58, 87, 116, 145, 174, 203, 232, 261, 290
30 : 30, 60, 90, 120, 150, 180, 210, 240, 270, 300
31 : 31, 62, 93, 124, 155, 186, 217, 248, 279, 310
32 : 32, 64, 96, 128, 160, 192, 224, 256, 288, 320
33 : 33, 66, 99, 132, 165, 198, 231, 264, 297, 330
34 : 34, 68, 102, 136, 170, 204, 238, 272, 306, 340
35 : 35, 70, 105, 140, 175, 210, 245, 280, 315, 350
36 : 36, 72, 108, 144, 180, 216, 252, 288, 324, 360
37 : 37, 74, 111, 148, 185, 222, 259, 296, 333, 370
38 : 38, 76, 114, 152, 190, 228, 266, 304, 342, 380
39 : 39, 78, 117, 156, 195, 234, 273, 312, 351, 390
40 : 40, 80, 120, 160, 200, 240, 280, 320, 360, 400
